#separator:tab
#html:false
#notetype:Levantine Grammar
#deck:Levantine Arabic::Part 1 Grammar
#tags column:5
#columns:Question	Rule	Examples	Watch out for	Tags
How do you know if a noun is masculine or feminine?	If a noun ends in ة it is feminine, otherwise it is masculine. Grammatical gender is completely arbitrary.	كرسي (chair) is masculine; طاولة (table) is feminine; بيت / كتاب / باب are masculine; سيّارة / قهوة / صورة are feminine.	Some feminine nouns have no ة: ست، إم، إخت، بنت. All country names are feminine because they refer to دولة.	L1 gender
What are the possessive endings on a masculine noun?	Suffixes attached to the thing owned: ي (my), ـَك (your m), ـِك (your f), كن (your pl), نا (our), then his / her / their in one of two variants — book: ه، ها، هن; Damascene (what you hear in class): و، ا، ُن.	بيت → بيتي، بيتَك، بيتِك، بيتكن، بيتنا، then بيته / بيتو، بيتها / بيتا، بيتهن / بيتُن	Your (m) and your (f) differ only in the vowel (baitak vs baitek). The same his/her/their split runs through عنده/عندو، معه/معو، بدّه/بدّو — both are correct, so recognise both and pick one to speak.	L1 possessive lesson-vs-book
What happens to a feminine noun ending in ة when you add a possessive?	The ة turns into ت, both in writing and pronunciation: تي، تك، تك، تكن، تنا، ته، تها، تهن.	سيّارة → سيارتي، سيارتك، سيارتكن، سيارتنا، سيارته، سيارتها، سيارتهن	With a name instead of a suffix, the spelling stays سيّارة but the ة is pronounced (t): سيّارة فاطمة.	L1 possessive
Where does an adjective go, and how does it agree?	The adjective always follows the noun and agrees in gender. The feminine adjective is the masculine plus ة.	بيت كبير (big house); شغل جديد (new work); سيّارة صغيرة (small car); صورة قديمة (old picture)	The ة is pronounced (a) in قصيرة، بشعة، رخيصة, but (eh) in the other adjectives.	L1 adjectives
What are the made-up verbs, and why are they special?	بدّ (want), عند (have / own), مع (have on / with) were invented in Levantine. They behave like nouns, so they take possessive endings instead of verb conjugations.	بدّي، بدّك، بدّكن، بدّنا، بدّه، بدّها، بدّهن — عندي، عندك، عندكن، عنّا، عنده، عندها، عندهن — معي، معك، معكن، معنا، معه، معها، معهن	Never conjugate them like real verbs. عندنا is often shortened to عنّا.	L1 made-up-verbs
Which persons have an imperative (command) form?	Only the second person: انتَ، انتي، انتو. The imperative is derived from the present tense and refers to the future.	ادرس (انتَ) / ادرسي (انتي) / ادرسو (انتو)	There is no command form for أنا، نحنا، هو، هي، هن.	L2 commands
How do you build the انتي and انتو commands?	Take the masculine انتَ command as the base, then add ي for انتي and و for انتو.	سافر → سافري، سافرو; اكتب → اكتبي، اكتبو; روح → روحي، روحو; اشرب → اشربي، اشربو	Always start from the انتَ form, not from the dictionary form.	L2 commands
What is a defective verb and how does it take command endings?	A defective verb ends in a vowel (short, or long ا و ي). You replace the final ي with the ending instead of adding it.	استنّى → استنّي (f) / استنّو (pl); احكي → احكي (f) / احكو (pl); انسى → انسي / انسو; ساوي → ساوي / ساوو	The انتي form of احكي and ساوي looks identical to the انتَ form.	L2 defective-verbs
How do you make a negative command?	Use لا + the present tense verb. The present is formed by putting ت before the positive command.	ادرس → لا تدرس; اشرب قهوة → لا تشرب قهوة; لا تروح عالسينما; لا تحكي إنكليزي; لا تسافرو ع سوريا	You can never put لا before a positive command: لا اشرب قهوة is wrong, لا تشرب قهوة is right.	L2 commands
What happens to على and في before the definite article ال?	على + ال contracts to عال (and على can shorten to ع). في + ال contracts to بال (and في can shorten to ب).	الكتاب على الدفتر = الكتاب عالدفتر; روحي على مدريد = روحي ع مدريد; انت في المكتب = انت بالمكتب; أنا في ألمانيا = أنا بألمانيا	Use ع / ب with a bare noun, عال / بال when ال is present.	L2 prepositions
